V,errV,I,errI
400,10,1,3.015
440,10,2,3.03
460,10,3,3.045
480,10,4,3.06
500,10,6,3.09
520,10,9,3.135
540,10,13,3.195
560,10,19,3.285
580,10,28,3.42
600,10,43,3.645
620,10,61,3.915
640,10,90,4.35
660,10,124,4.86
680,10,182,5.73
700,10,262,6.93
