V,errV,I,errI
4,0.1,0.01947,0.00032205
3.6,0.1,0.01962,0.0003243
3.2,0.1,0.01945,0.00032175
2.8,0.1,0.0191,0.0003165
2.4,0.1,0.01889,0.00031335
2,0.05,0.01852,0.0003078
1.8,0.05,0.01844,0.0003066
1.6,0.05,0.01825,0.00030375
1.4,0.05,0.01806,0.0003009
1.2,0.05,0.01785,0.00029775
1,0.02,0.01766,0.0002949
0.9,0.02,0.01754,0.0002931
0.8,0.02,0.01737,0.00029055
0.7,0.02,0.01724,0.0002886
0.6,0.02,0.01707,0.00028605
0.5,0.02,0.01687,0.00028305
0.4,0.02,0.0165,0.0002775
0.3,0.02,0.0156,0.000264
0.2,0.02,0.01307,0.00022605
0.1,0.02,0.00481,0.00010215
0,0.02,0.00008,0.0000312
