V,errV,I,errI
20,4,0,3
40,4,0,3
60,4,1,3.015
80,4,2,3.03
100,4,3,3.045
112,4,4,3.06
124,4,5,3.075
132,4,6,3.09
140,4,7,3.105
150,10,8,3.12
160,10,10,3.15
170,10,13,3.195
180,10,16,3.24
190,10,19,3.285
200,10,23,3.345
210,10,28,3.42
220,10,33,3.495
230,10,39,3.585
250,10,55,3.825
270,10,78,4.17
290,10,108,4.62
310,10,148,5.22
320,10,201,6.015
