V,errV,I,errI
100,4,3,0.135
112,4,4,0.18
124,4,5,0.225
132,4,6,0.27
140,4,7,0.315
150,10,8,0.36
160,10,10,0.45
170,10,13,0.585
180,10,16,0.72
190,10,19,0.855
200,10,23,1.035
210,10,28,1.26
220,10,33,1.485
230,10,39,1.755
250,10,55,2.475
270,10,78,3.51
290,10,108,4.86
310,10,148,6.66
